HUC_12,instream_act,riparian_act,land_act,fishpass_act,instream_cst,n_instream_huc,n_instream_cst,riparian_cst,n_riparian_huc,n_riparian_cst,land_cst,n_land_huc,n_land_cst,main_cst,n_main_huc,n_main_cst,prj_cst,n_prj_cst,n_prj_huc,n_worksites
170300010101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
170300010102,0,2,0,0,0,0,0,NA,2,0,0,0,0,NA,2,0,0,0,2,2
170300010103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170300010104,0,2,0,0,0,0,0,6925.404531742556,2,2,0,0,0,6925.404531742556,2,2,6925.404531742556,1,2,2
170300010105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170300010106,3,0,0,0,0,0,0,0,0,0,0,0,0,1042783.8466069797,2,2,1042783.8466069797,2,2,3
170300010201,0,18,0,0,0,0,0,2770.1618126970225,2,2,0,0,0,77564.92504996854,3,3,77564.92504996854,2,3,18
170300010202,0,1,0,0,0,0,0,NA,1,0,0,0,0,NA,1,0,0,0,1,1
170300010203,0,2,0,0,0,0,0,NA,2,0,0,0,0,NA,2,0,0,0,2,3
170300010204,4,3,2,1,0,0,0,NA,1,0,45660.42889174262,2,2,631644.0454668436,5,5,631644.0454668436,4,6,9
170300010205,1,1,0,1,16711.86991677872,1,1,0,0,0,0,0,0,16711.86991677872,1,1,6626606.207008943,54,64,87
170300010301,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,0,0,4672.366925320021,1,3,3
170300010302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170300010303,0,2,0,0,0,0,0,2447.8286150379768,1,1,0,0,0,5217.990427735,2,2,5217.990427735,2,2,2
170300010304,1,0,0,0,488309.76354937773,1,1,0,0,0,0,0,0,488309.76354937773,1,1,488309.76354937773,1,1,1
170300010305,0,0,2,2,0,0,0,0,0,0,0,0,0,1124401.5963030693,2,2,1623950.7972455646,3,4,7
170300010306,0,0,3,2,0,0,0,0,0,0,42103.494796235944,2,2,2077962.3089776707,3,3,2171968.6614525104,4,5,5
170300010307,1,3,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,127021.13506819788,1,1,6
170300010401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170300010402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170300010403,1,0,0,2,0,0,0,0,0,0,0,0,0,NA,0,0,818642.5055210935,1,2,2
170300010404,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
170300010405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170300010406,0,1,1,0,0,0,0,NA,1,0,0,0,0,NA,2,0,0,0,2,2
170300010407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
170300010408,5,1,0,2,0,0,0,0,0,0,0,0,0,21716.80757657015,1,1,1076674.895403387,3,4,9
170300010409,2,0,0,6,0,0,0,0,0,0,0,0,0,49454.023613251164,1,1,1538058.0154127346,4,4,12
170300010501,1,0,0,0,0,0,0,0,0,0,0,0,0,290879.554751809,1,1,290879.554751809,1,1,1
170300010502,0,2,0,0,0,0,0,57542.95408015064,1,1,0,0,0,60659.386119434785,2,2,60659.386119434785,2,2,7
170300010503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170300010504,4,0,0,5,6499.161866367027,1,1,0,0,0,0,0,0,189834.55790818474,2,2,4284628.09663454,11,11,19
170300010505,3,4,2,2,NA,1,0,0,0,0,0,0,0,16712.40027964531,3,3,958697.432259156,4,8,12
170300010506,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,0,0,151056.73841545256,1,1,1
170300010507,0,2,3,0,0,0,0,0,0,0,296132.7997125035,3,3,296132.7997125035,3,3,627635.0412287137,5,6,13
170300010508,0,1,0,0,0,0,0,1108.064725078809,1,1,0,0,0,1108.064725078809,1,1,1108.064725078809,1,1,1
170300010509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170300010510,6,5,0,8,0,0,0,0,0,0,0,0,0,3126565.5343507845,5,5,4362745.974964655,9,12,19
170300010511,0,4,0,1,0,0,0,NA,2,0,0,0,0,7638.859745470099,4,4,1506068.7702490531,7,11,35
170300010601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
